id,ticket_num,buyer_name,buyer_email,first_name,last_name,city,state,zipcode,country,ticketType_id,address1,address2,age,burner_name,email,phone,type_id,,,,,,type_id
1,2018-0001,Ken Girard,fakeemail@fake.com,Ken,Girard,St. Charles,MO,63301,USA,,,,,,,,,,,,,,
2,2018-0002,Ken Girard,fakeemail@fake.com,Alesia,Clardy,St. Charles,MO,63301,USA,,,,,,,,,,,,,,
3,2018-0003,Angela Normal,fakeemail@fake.com,Angela,Normal,Des Moines,IA,50047,USA,,,,,,,,,,,,,,
4,2018-0004,China Clardy,fakeemail@fake.com,China,Clardy,Springfield,MI,49037,USA,,,,,,,,,,,,,,
5,2018-0005,Random Person,fakeemail@fake.com,Random,Person,Springfield,IL,62629,USA,,,,,,,,,,,,,,
6,2018-0006,Random Person,fakeemail@fake.com,Mini,Person,Springfield,IL,62629,USA,,,,,,,,,,,,,,
7,2018-0007,Ken Girard,fakeemail@fake.com,Ken,Girard,St. Charles,MO,63301,USA,,,,,,,,,,,,,,
8,2018-0008,Jack B Nimble,fakeemail@fake.com,Jack B,Nimble,Dallas,TX,75001,USA,,,,,,,,,,,,,,
9,2018-0009,Jack B Nimble,fakeemail@fake.com,Jill,Nimble,Dallas,TX,75001,USA,,,,,,,,,,,,,,
10,2018-0010,Sally Seashore,fakeemail@fake.com,Sally,Seashore,Saint Charles,IL,60119,USA,,,,,,,,,,,,,,
